DEP;DEPNOMBRE;MUN;MUNNOMBRE;ZONA;PUESTO;PUESNOMBRE;MESA;CORCODIGO;CORNOMBRE;MESAFUERATERMINOS;OBSERVACIONNOVEDADMESA;FECHALLEGADA;SUFRAGANTES;ESTADOSOBRE;TOTALVOTOSURNA;TOTALVOTOSINCINERADOS;CANTIDADFIRMAS;SUFRAGANTESSEGUNE11;TACHADURASBORRONES;OBSERVACIONTACHADURASBORRONES;RECUENTOJURADOS;RECUENTOJURADOSSOLICITADOPOR;RECUENTOSOLICITADOREPRESENTACIONPARTIDO;OBSERVACIONRECONTADA;RECONTADAAUXILIAR;RECONTADAZONAL;RECONTADAMUNICIPAL;RECONTADAGENERAL;RECONTADANACIONAL;EXCLUIDA;MODIFICADA;APELADA
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;017;01;PRESIDENTE;NO;;;63;BUEN ESTADO;63;0;6;63;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;001;01;PRESIDENTE;NO;;;184;BUEN ESTADO;184;0;6;184;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;002;01;PRESIDENTE;NO;;;220;BUEN ESTADO;220;0;6;220;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;003;01;PRESIDENTE;NO;;;209;BUEN ESTADO;209;0;6;209;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;004;01;PRESIDENTE;NO;;;248;BUEN ESTADO;248;0;6;248;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;005;01;PRESIDENTE;NO;;;239;BUEN ESTADO;239;0;6;239;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;006;01;PRESIDENTE;NO;;;194;BUEN ESTADO;194;0;6;194;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;007;01;PRESIDENTE;NO;;;152;BUEN ESTADO;152;0;6;152;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;008;01;PRESIDENTE;NO;;;190;BUEN ESTADO;189;0;6;190;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;009;01;PRESIDENTE;NO;;;225;BUEN ESTADO;225;0;6;225;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;010;01;PRESIDENTE;NO;;;229;BUEN ESTADO;229;0;6;229;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;011;01;PRESIDENTE;NO;;;224;BUEN ESTADO;224;0;6;224;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;012;01;PRESIDENTE;NO;;;212;BUEN ESTADO;212;0;6;212;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;013;01;PRESIDENTE;NO;;;221;BUEN ESTADO;221;0;6;221;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;014;01;PRESIDENTE;NO;;;191;BUEN ESTADO;191;0;6;191;NO;;NO;;;;SI;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;015;01;PRESIDENTE;NO;;;209;BUEN ESTADO;209;0;6;209;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;016;01;PRESIDENTE;NO;;;239;BUEN ESTADO;239;0;6;239;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;017;01;PRESIDENTE;NO;;;218;BUEN ESTADO;218;0;6;218;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;018;01;PRESIDENTE;NO;;;157;BUEN ESTADO;157;0;6;157;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;019;01;PRESIDENTE;NO;;;131;BUEN ESTADO;131;0;6;131;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;020;01;PRESIDENTE;NO;;;131;BUEN ESTADO;131;0;6;131;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;021;01;PRESIDENTE;NO;;;132;BUEN ESTADO;131;0;6;132;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;022;01;PRESIDENTE;NO;;;168;BUEN ESTADO;168;0;6;168;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;023;01;PRESIDENTE;NO;;;174;BUEN ESTADO;174;0;6;174;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;024;01;PRESIDENTE;NO;;;154;BUEN ESTADO;154;0;6;154;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;025;01;PRESIDENTE;NO;;;141;BUEN ESTADO;141;0;6;141;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;03;I.E.DJACQUELINEKENNEDY;026;01;PRESIDENTE;NO;;;77;BUEN ESTADO;77;0;6;77;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;001;01;PRESIDENTE;NO;;;233;BUEN ESTADO;233;0;6;233;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;002;01;PRESIDENTE;NO;;;194;BUEN ESTADO;194;0;6;194;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;003;01;PRESIDENTE;NO;;;230;BUEN ESTADO;230;0;6;230;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;004;01;PRESIDENTE;NO;;;245;BUEN ESTADO;245;0;6;245;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;005;01;PRESIDENTE;NO;;;235;BUEN ESTADO;235;0;6;235;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;006;01;PRESIDENTE;NO;;;138;BUEN ESTADO;138;0;6;138;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;007;01;PRESIDENTE;NO;;;158;BUEN ESTADO;158;0;6;158;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;04;IEDJACQUELINEKENNEDYSD2PRELACAND.;008;01;PRESIDENTE;NO;;;110;BUEN ESTADO;110;0;6;110;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;001;01;PRESIDENTE;NO;;;244;BUEN ESTADO;244;0;6;244;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;002;01;PRESIDENTE;NO;;;194;BUEN ESTADO;194;0;6;194;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;003;01;PRESIDENTE;NO;;;132;BUEN ESTADO;132;0;6;132;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;004;01;PRESIDENTE;NO;;;147;BUEN ESTADO;147;0;6;147;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;005;01;PRESIDENTE;NO;;;148;BUEN ESTADO;148;0;6;148;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;006;01;PRESIDENTE;NO;;;161;BUEN ESTADO;161;0;6;161;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;007;01;PRESIDENTE;NO;;;174;BUEN ESTADO;174;0;6;174;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;008;01;PRESIDENTE;NO;;;171;BUEN ESTADO;171;0;6;171;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;009;01;PRESIDENTE;NO;;;166;BUEN ESTADO;166;0;6;166;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;010;01;PRESIDENTE;NO;;;146;BUEN ESTADO;146;0;6;146;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;011;01;PRESIDENTE;NO;;;173;BUEN ESTADO;173;0;6;173;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;012;01;PRESIDENTE;NO;;;143;BUEN ESTADO;143;0;6;143;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;013;01;PRESIDENTE;NO;;;122;BUEN ESTADO;122;0;6;122;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;05;IEDJACQUELINEKENNEDYSD4PRIMDEMAYO;014;01;PRESIDENTE;NO;;;53;BUEN ESTADO;53;0;6;53;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;001;01;PRESIDENTE;NO;;;268;BUEN ESTADO;268;0;6;268;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;002;01;PRESIDENTE;NO;;;262;BUEN ESTADO;262;0;6;262;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;003;01;PRESIDENTE;NO;;;180;BUEN ESTADO;180;0;6;180;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;004;01;PRESIDENTE;NO;;;167;BUEN ESTADO;167;0;6;167;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;005;01;PRESIDENTE;NO;;;164;BUEN ESTADO;164;0;6;164;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;006;01;PRESIDENTE;NO;;;159;BUEN ESTADO;159;0;6;159;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;007;01;PRESIDENTE;NO;;;161;BUEN ESTADO;161;0;6;161;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
